Day,Date,CodedDay,Zone,Weather,Temperature,Traffic
Saturday,04-09-32,3,2,18,39,5
Sunday,05-09-32,3,10,14,15,2
Monday,06-09-32,3,8,37,26,3
Tuesday,07-09-32,3,3,43,40,4
Wednesday,08-09-32,3,2,35,13,1
Thursday,09-09-32,3,10,49,23,4
Friday,10-09-32,3,6,42,39,1
Saturday,11-09-32,3,1,19,34,2
Sunday,12-09-32,3,10,47,29,1
Monday,13-09-32,3,1,39,20,4
Tuesday,14-09-32,3,8,37,26,4
Wednesday,15-09-32,3,9,23,40,3
Thursday,16-09-32,3,7,12,28,1
Friday,17-09-32,3,7,15,9,5
Saturday,18-09-32,3,3,24,34,1
Sunday,19-09-32,3,9,43,29,1
Monday,20-09-32,3,2,13,32,4
Tuesday,21-09-32,3,5,50,28,3
Wednesday,22-09-32,3,1,40,25,3
Thursday,23-09-32,3,5,14,38,5
Friday,24-09-32,3,1,42,10,5
Saturday,25-09-32,3,4,41,38,1
Sunday,26-09-32,3,10,16,20,5
Monday,27-09-32,3,4,26,9,5
Tuesday,28-09-32,3,9,44,35,1
Wednesday,29-09-32,3,10,19,9,5
Thursday,30-09-32,3,10,30,18,3
Friday,01-10-32,3,9,20,23,2
Saturday,02-10-32,3,6,46,16,4
Sunday,03-10-32,3,2,16,36,4
Monday,04-10-32,3,1,25,40,4
Tuesday,05-10-32,3,1,47,16,1
Wednesday,06-10-32,3,10,42,19,4
Thursday,07-10-32,3,1,23,31,3
Friday,08-10-32,3,3,42,37,2
Saturday,09-10-32,3,9,15,31,5
Sunday,10-10-32,3,2,21,29,4
Monday,11-10-32,3,8,17,37,5
Tuesday,12-10-32,3,2,18,32,4
Wednesday,13-10-32,3,7,20,33,5
Thursday,14-10-32,3,8,50,13,2
Friday,15-10-32,3,10,18,37,1
Saturday,16-10-32,3,3,33,13,5
Sunday,17-10-32,3,4,32,15,1
Monday,18-10-32,3,6,14,8,4
Tuesday,19-10-32,3,4,46,36,3
Wednesday,20-10-32,3,5,11,20,1
Thursday,21-10-32,3,2,39,16,2
Friday,22-10-32,3,4,11,41,5
Saturday,23-10-32,3,7,13,31,3
Sunday,24-10-32,3,5,35,6,3
Monday,25-10-32,3,8,39,29,4
Tuesday,26-10-32,3,10,25,20,2
Wednesday,27-10-32,3,5,39,5,1
Thursday,28-10-32,3,10,10,5,4
Friday,29-10-32,3,1,12,16,2
Saturday,30-10-32,3,2,28,14,2
Sunday,31-10-32,3,1,35,32,5
Monday,01-11-32,3,4,41,39,1
Tuesday,02-11-32,3,10,31,30,4
Wednesday,03-11-32,3,5,44,12,1
Thursday,04-11-32,3,9,47,23,2
Friday,05-11-32,3,4,41,23,2
Saturday,06-11-32,3,5,45,10,4
Sunday,07-11-32,3,9,15,40,2
Monday,08-11-32,3,6,14,33,5
Tuesday,09-11-32,3,7,30,20,3
Wednesday,10-11-32,3,9,48,41,4
Thursday,11-11-32,3,8,46,15,1
Friday,12-11-32,3,4,31,22,3
Saturday,13-11-32,3,9,12,23,3
Sunday,14-11-32,3,8,26,9,2
Monday,15-11-32,3,8,36,13,2
Tuesday,16-11-32,3,3,18,5,1
Wednesday,17-11-32,3,10,15,42,5
Thursday,18-11-32,3,4,33,8,5
Friday,19-11-32,3,2,27,32,1
Saturday,20-11-32,3,10,19,26,5
Sunday,21-11-32,3,10,43,6,3
Monday,22-11-32,3,8,39,8,5
Tuesday,23-11-32,3,3,32,42,5
Wednesday,24-11-32,3,3,19,35,2
Thursday,25-11-32,3,8,20,40,5
Friday,26-11-32,3,8,17,14,1
Saturday,27-11-32,3,10,28,29,2
Sunday,28-11-32,3,5,48,38,4
Monday,29-11-32,3,6,36,6,3
Tuesday,30-11-32,3,4,35,22,5
Wednesday,01-12-32,3,10,49,23,2
Thursday,02-12-32,3,6,45,9,2
Friday,03-12-32,3,5,34,39,3
Saturday,04-12-32,3,4,34,36,5
Sunday,05-12-32,3,4,13,21,2
Monday,06-12-32,3,1,22,34,4
Tuesday,07-12-32,3,4,42,9,2
Wednesday,08-12-32,3,10,49,24,2
Thursday,09-12-32,3,6,16,18,2
Friday,10-12-32,3,3,20,40,1
Saturday,11-12-32,3,2,40,32,1
Sunday,12-12-32,3,4,39,10,3
Monday,13-12-32,3,8,30,26,5
Tuesday,14-12-32,3,7,28,21,4
Wednesday,15-12-32,3,8,46,12,5
Thursday,16-12-32,3,6,50,9,2
Friday,17-12-32,3,1,30,42,5
Saturday,18-12-32,3,6,36,17,1
Sunday,19-12-32,3,6,12,17,5
Monday,20-12-32,3,1,40,24,4
Tuesday,21-12-32,3,3,36,28,3
Wednesday,22-12-32,3,7,16,19,2
Thursday,23-12-32,3,8,32,27,4
Friday,24-12-32,3,2,30,10,3
Saturday,25-12-32,3,8,42,23,2
Sunday,26-12-32,3,8,42,26,2
Monday,27-12-32,3,5,40,12,1
Tuesday,28-12-32,3,10,44,18,4
Wednesday,29-12-32,3,10,19,36,1
Thursday,30-12-32,3,4,21,43,5
Friday,31-12-32,3,5,31,18,1
Saturday,01-01-33,3,4,15,9,4
Sunday,02-01-33,3,9,20,19,4
Monday,03-01-33,3,6,13,34,4
Tuesday,04-01-33,3,1,25,18,1
Wednesday,05-01-33,3,4,44,33,5
Thursday,06-01-33,3,1,13,25,3
Friday,07-01-33,3,7,10,35,2
Saturday,08-01-33,3,4,25,27,4
Sunday,09-01-33,3,3,26,40,1
Monday,10-01-33,3,8,20,44,4
Tuesday,11-01-33,3,2,28,5,1
Wednesday,12-01-33,3,8,44,6,1
Thursday,13-01-33,3,2,37,24,4
Friday,14-01-33,3,7,21,44,5
Saturday,15-01-33,3,8,16,12,1
Sunday,16-01-33,3,8,33,12,5
Monday,17-01-33,3,7,24,9,2
Tuesday,18-01-33,3,2,36,5,4
Wednesday,19-01-33,3,7,33,10,2
Thursday,20-01-33,3,10,25,27,3
Friday,21-01-33,3,1,42,32,5
Saturday,22-01-33,3,5,25,16,5
Sunday,23-01-33,3,7,24,30,4
Monday,24-01-33,3,9,10,39,2
Tuesday,25-01-33,3,7,23,41,4
Wednesday,26-01-33,3,3,20,14,1
Thursday,27-01-33,3,1,50,36,3
Friday,28-01-33,3,3,11,33,1
Saturday,29-01-33,3,6,12,26,4
Sunday,30-01-33,3,5,10,42,5
Monday,31-01-33,3,4,25,23,4
Tuesday,01-02-33,3,1,37,21,4
Wednesday,02-02-33,3,8,35,42,1
Thursday,03-02-33,3,5,25,23,4
Friday,04-02-33,3,10,14,30,3
Saturday,05-02-33,3,8,38,34,4
Sunday,06-02-33,3,4,47,10,3
Monday,07-02-33,3,4,44,28,3
Tuesday,08-02-33,3,8,31,30,2
Wednesday,09-02-33,3,1,14,11,1
Thursday,10-02-33,3,6,22,22,2
Friday,11-02-33,3,6,46,29,4
Saturday,12-02-33,3,1,34,28,2
Sunday,13-02-33,3,8,28,11,2
Monday,14-02-33,3,10,29,16,1
Tuesday,15-02-33,3,1,37,7,3
Wednesday,16-02-33,3,6,25,32,5
Thursday,17-02-33,3,7,36,28,1
Friday,18-02-33,3,10,29,40,4
Saturday,19-02-33,3,4,29,28,2
Sunday,20-02-33,3,10,18,6,5
Monday,21-02-33,3,8,40,34,5
Tuesday,22-02-33,3,5,50,22,1
Wednesday,23-02-33,3,1,28,24,5
Thursday,24-02-33,3,9,30,21,5
Friday,25-02-33,3,6,19,5,4
Saturday,26-02-33,3,2,46,14,1
Sunday,27-02-33,3,8,27,37,2
Monday,28-02-33,3,3,41,27,2
Tuesday,01-03-33,3,2,23,18,5
Wednesday,02-03-33,3,8,13,42,4
Thursday,03-03-33,3,2,31,18,2
Friday,04-03-33,3,10,18,31,3
Saturday,05-03-33,3,6,29,28,3
Sunday,06-03-33,3,9,39,30,4
Monday,07-03-33,3,1,30,5,1
Tuesday,08-03-33,3,10,50,17,1
Wednesday,09-03-33,3,4,16,12,4
Thursday,10-03-33,3,6,15,11,5
Friday,11-03-33,3,2,43,21,1
Saturday,12-03-33,3,7,21,14,4
Sunday,13-03-33,3,5,39,17,4
Monday,14-03-33,3,1,11,32,2
Tuesday,15-03-33,3,2,34,33,2
Wednesday,16-03-33,3,2,36,34,1
Thursday,17-03-33,3,6,31,21,4
Friday,18-03-33,3,3,16,11,4
Saturday,19-03-33,3,6,45,43,2
Sunday,20-03-33,3,6,32,38,3
Monday,21-03-33,3,10,20,44,5
Tuesday,22-03-33,3,7,31,18,2
Wednesday,23-03-33,3,4,32,13,2
Thursday,24-03-33,3,10,17,33,2
Friday,25-03-33,3,2,16,35,5
Saturday,26-03-33,3,5,19,25,4
Sunday,27-03-33,3,7,34,11,1
Monday,28-03-33,3,8,25,25,4
Tuesday,29-03-33,3,4,19,17,1
Wednesday,30-03-33,3,1,24,35,2
Thursday,31-03-33,3,4,39,37,5
Friday,01-04-33,3,1,32,33,2
Saturday,02-04-33,3,5,39,36,4
Sunday,03-04-33,3,7,17,36,4
Monday,04-04-33,3,10,40,30,2
Tuesday,05-04-33,3,3,40,37,5
Wednesday,06-04-33,3,7,45,10,2
Thursday,07-04-33,3,4,12,17,1
Friday,08-04-33,3,6,14,45,1
Saturday,09-04-33,3,1,23,41,5
Sunday,10-04-33,3,10,21,24,5
Monday,11-04-33,3,8,44,16,2
Tuesday,12-04-33,3,4,16,32,5
Wednesday,13-04-33,3,5,50,9,3
Thursday,14-04-33,3,5,16,28,3
Friday,15-04-33,3,7,48,21,1
Saturday,16-04-33,3,1,22,18,2
Sunday,17-04-33,3,3,20,32,4
Monday,18-04-33,3,2,43,31,1
Tuesday,19-04-33,3,3,11,8,4
Wednesday,20-04-33,3,9,35,9,5
Thursday,21-04-33,3,3,24,38,3
Friday,22-04-33,3,4,40,30,3
Saturday,23-04-33,3,8,42,37,5
Sunday,24-04-33,3,1,26,39,5
Monday,25-04-33,3,1,39,5,4
Tuesday,26-04-33,3,9,19,31,3
Wednesday,27-04-33,3,5,29,12,5
Thursday,28-04-33,3,6,50,12,2
Friday,29-04-33,3,7,15,8,5
Saturday,30-04-33,3,2,17,45,5
Sunday,01-05-33,3,6,38,23,3
Monday,02-05-33,3,8,29,43,5
Tuesday,03-05-33,3,1,35,11,3
Wednesday,04-05-33,3,7,44,10,2
Thursday,05-05-33,3,8,40,21,4
Friday,06-05-33,3,7,22,42,1
Saturday,07-05-33,3,2,45,5,1
Sunday,08-05-33,3,10,13,16,5
Monday,09-05-33,3,8,14,31,1
Tuesday,10-05-33,3,4,44,31,5
Wednesday,11-05-33,3,9,15,39,3
Thursday,12-05-33,3,5,38,10,2
Friday,13-05-33,3,5,28,25,1
Saturday,14-05-33,3,6,10,43,4
Sunday,15-05-33,3,3,45,31,4
Monday,16-05-33,3,5,27,24,4
Tuesday,17-05-33,3,10,44,8,4
Wednesday,18-05-33,3,2,13,40,3
Thursday,19-05-33,3,4,35,37,3
Friday,20-05-33,3,8,49,24,5
Saturday,21-05-33,3,6,23,11,3
Sunday,22-05-33,3,9,23,44,3
Monday,23-05-33,3,10,27,36,2
Tuesday,24-05-33,3,4,31,7,2
Wednesday,25-05-33,3,10,19,22,3
Thursday,26-05-33,3,4,33,28,1
Friday,27-05-33,3,7,28,42,4
Saturday,28-05-33,3,6,16,38,2
Sunday,29-05-33,3,7,23,10,5
Monday,30-05-33,3,1,50,20,5
Tuesday,31-05-33,3,1,18,17,4
Wednesday,01-06-33,3,10,21,6,1
Thursday,02-06-33,3,5,12,12,4
Friday,03-06-33,3,7,30,20,2
Saturday,04-06-33,3,1,37,15,1
Sunday,05-06-33,3,6,18,8,1
Monday,06-06-33,3,9,47,19,1
Tuesday,07-06-33,3,8,28,41,4
Wednesday,08-06-33,3,1,35,10,4
Thursday,09-06-33,3,1,13,9,5
Friday,10-06-33,3,6,21,13,2
Saturday,11-06-33,3,8,28,29,1
Sunday,12-06-33,3,1,24,17,1
Monday,13-06-33,3,1,49,34,1
Tuesday,14-06-33,3,5,37,18,1
Wednesday,15-06-33,3,9,43,8,4
Thursday,16-06-33,3,8,33,32,5
Friday,17-06-33,3,3,29,43,3
Saturday,18-06-33,3,9,41,35,5
Sunday,19-06-33,3,9,23,18,3
Monday,20-06-33,3,7,47,25,4
Tuesday,21-06-33,3,3,20,19,3
Wednesday,22-06-33,3,9,43,35,5
Thursday,23-06-33,3,10,11,9,3
Friday,24-06-33,3,6,28,34,2
Saturday,25-06-33,3,9,22,43,1
Sunday,26-06-33,3,9,48,11,3
Monday,27-06-33,3,4,37,29,1
Tuesday,28-06-33,3,5,29,15,4
Wednesday,29-06-33,3,5,35,11,2
Thursday,30-06-33,3,1,23,43,4
Friday,01-07-33,3,8,14,14,1
Saturday,02-07-33,3,3,30,18,1
Sunday,03-07-33,3,4,27,25,4
Monday,04-07-33,3,10,29,33,3
Tuesday,05-07-33,3,1,10,24,3
Wednesday,06-07-33,3,7,23,7,2
Thursday,07-07-33,3,10,39,40,3
Friday,08-07-33,3,9,25,27,2
Saturday,09-07-33,3,7,20,20,5
Sunday,10-07-33,3,7,49,6,2
Monday,11-07-33,3,10,31,21,2
Tuesday,12-07-33,3,7,12,39,4
Wednesday,13-07-33,3,3,39,16,2
Thursday,14-07-33,3,9,14,8,3
Friday,15-07-33,3,6,45,40,5
Saturday,16-07-33,3,6,45,7,4
Sunday,17-07-33,3,1,22,42,1
Monday,18-07-33,3,9,11,36,4
Tuesday,19-07-33,3,10,50,44,2
Wednesday,20-07-33,3,8,27,16,5
Thursday,21-07-33,3,5,33,14,3
Friday,22-07-33,3,3,23,40,3
Saturday,23-07-33,3,3,15,10,3
Sunday,24-07-33,3,1,46,8,1
Monday,25-07-33,3,9,34,45,1
Tuesday,26-07-33,3,6,40,11,4
Wednesday,27-07-33,3,1,19,29,1
Thursday,28-07-33,3,5,49,33,1
Friday,29-07-33,3,3,33,11,4
Saturday,30-07-33,3,6,44,6,1
Sunday,31-07-33,3,4,40,10,2
Monday,01-08-33,3,9,33,26,2
Tuesday,02-08-33,3,4,13,40,1
Wednesday,03-08-33,3,1,29,39,2
Thursday,04-08-33,3,10,50,17,5
Friday,05-08-33,3,8,14,27,2
Saturday,06-08-33,3,7,28,27,2
Sunday,07-08-33,3,6,45,24,2
Monday,08-08-33,3,9,27,6,1
Tuesday,09-08-33,3,6,44,8,1
Wednesday,10-08-33,3,3,15,6,3
Thursday,11-08-33,3,1,35,18,2
Friday,12-08-33,3,5,43,17,5
Saturday,13-08-33,3,9,33,6,3
Sunday,14-08-33,3,1,39,44,4
Monday,15-08-33,3,5,31,8,3
Tuesday,16-08-33,3,5,37,9,4
Wednesday,17-08-33,3,10,34,7,4
Thursday,18-08-33,3,2,27,6,4
Friday,19-08-33,3,8,14,19,3
Saturday,20-08-33,3,8,11,42,5
Sunday,21-08-33,3,5,38,21,4
Monday,22-08-33,3,1,45,38,2
Tuesday,23-08-33,3,7,47,35,3
Wednesday,24-08-33,3,5,21,22,2
Thursday,25-08-33,3,5,21,8,5
Friday,26-08-33,3,1,36,12,2
Saturday,27-08-33,3,9,36,35,3
Sunday,28-08-33,3,6,35,35,3
Monday,29-08-33,3,2,38,44,1
Tuesday,30-08-33,3,1,31,11,2
Wednesday,31-08-33,3,1,42,20,2
Thursday,01-09-33,3,1,15,21,1
Friday,02-09-33,3,9,26,11,1
Saturday,03-09-33,3,6,31,43,2
Sunday,04-09-33,3,7,29,30,1
Monday,05-09-33,3,4,25,42,2
Tuesday,06-09-33,3,4,11,11,5
Wednesday,07-09-33,3,2,49,25,3
Thursday,08-09-33,3,10,10,19,4
Friday,09-09-33,3,3,21,45,2
Saturday,10-09-33,3,2,21,19,4
Sunday,11-09-33,3,4,14,30,2
Monday,12-09-33,3,2,18,43,1
Tuesday,13-09-33,3,8,28,20,2
Wednesday,14-09-33,3,3,39,28,4
Thursday,15-09-33,3,6,24,11,1
Friday,16-09-33,3,9,34,28,3
Saturday,17-09-33,3,5,40,22,1
Sunday,18-09-33,3,4,14,8,1
Monday,19-09-33,3,3,37,23,5
Tuesday,20-09-33,3,6,43,20,4
Wednesday,21-09-33,3,4,40,35,3
Thursday,22-09-33,3,3,40,28,4
Friday,23-09-33,3,9,43,33,3
Saturday,24-09-33,3,10,13,36,2
Sunday,25-09-33,3,1,25,5,1
Monday,26-09-33,3,5,36,40,1
Tuesday,27-09-33,3,3,15,44,4
Wednesday,28-09-33,3,3,44,12,2
Thursday,29-09-33,3,5,17,13,5
Friday,30-09-33,3,2,24,32,4
Saturday,01-10-33,3,10,13,9,1
Sunday,02-10-33,3,8,49,42,5
Monday,03-10-33,3,5,49,35,1
Tuesday,04-10-33,3,2,36,25,2
Wednesday,05-10-33,3,6,29,31,1
Thursday,06-10-33,3,5,44,28,1
Friday,07-10-33,3,7,24,45,4
Saturday,08-10-33,3,4,12,17,4
Sunday,09-10-33,3,9,37,10,2
Monday,10-10-33,3,7,24,39,1
Tuesday,11-10-33,3,8,43,42,3
Wednesday,12-10-33,3,6,49,8,2
Thursday,13-10-33,3,4,13,5,4
Friday,14-10-33,3,6,22,36,4
Saturday,15-10-33,3,5,46,43,4
Sunday,16-10-33,3,8,41,24,1
Monday,17-10-33,3,7,16,44,5
Tuesday,18-10-33,3,5,47,19,5
Wednesday,19-10-33,3,1,29,44,5
Thursday,20-10-33,3,9,22,38,1
Friday,21-10-33,3,4,16,21,4
Saturday,22-10-33,3,7,18,22,5
Sunday,23-10-33,3,2,32,26,5
Monday,24-10-33,3,3,31,22,5
Tuesday,25-10-33,3,6,44,38,5
Wednesday,26-10-33,3,1,36,25,5
Thursday,27-10-33,3,8,41,36,2
Friday,28-10-33,3,5,29,38,2
Saturday,29-10-33,3,3,29,6,5
Sunday,30-10-33,3,6,18,21,4
Monday,31-10-33,3,6,49,37,5
Tuesday,01-11-33,3,5,42,45,1
Wednesday,02-11-33,3,3,30,23,3
Thursday,03-11-33,3,6,17,44,3
Friday,04-11-33,3,6,18,43,1
Saturday,05-11-33,3,4,26,38,3
Sunday,06-11-33,3,1,40,15,4
Monday,07-11-33,3,7,17,40,2
Tuesday,08-11-33,3,9,50,26,1
Wednesday,09-11-33,3,5,39,12,4
Thursday,10-11-33,3,7,46,28,5
Friday,11-11-33,3,7,49,37,5
Saturday,12-11-33,3,10,20,40,2
Sunday,13-11-33,3,8,44,7,4
Monday,14-11-33,3,2,14,44,5
Tuesday,15-11-33,3,4,23,15,3
Wednesday,16-11-33,3,3,20,30,3
Thursday,17-11-33,3,5,41,18,5
Friday,18-11-33,3,6,49,25,1
Saturday,19-11-33,3,3,15,29,3
Sunday,20-11-33,3,6,45,15,2
Monday,21-11-33,3,6,50,27,5
Tuesday,22-11-33,3,7,32,17,5
Wednesday,23-11-33,3,1,14,25,3
Thursday,24-11-33,3,9,29,37,2
Friday,25-11-33,3,1,34,12,5
Saturday,26-11-33,3,4,35,8,3
Sunday,27-11-33,3,3,39,27,4
Monday,28-11-33,3,5,24,30,2
Tuesday,29-11-33,3,9,46,33,4
Wednesday,30-11-33,3,9,46,10,5
Thursday,01-12-33,3,9,24,6,4
Friday,02-12-33,3,2,24,29,3
Saturday,03-12-33,3,3,43,37,4
Sunday,04-12-33,3,7,12,23,1
Monday,05-12-33,3,7,15,27,4
Tuesday,06-12-33,3,3,33,32,5
Wednesday,07-12-33,3,1,22,31,2
Thursday,08-12-33,3,6,10,33,5
Friday,09-12-33,3,8,44,40,2
Saturday,10-12-33,3,4,36,15,3
Sunday,11-12-33,3,10,23,41,1
Monday,12-12-33,3,2,12,11,2
Tuesday,13-12-33,3,5,37,14,4
Wednesday,14-12-33,3,10,25,24,5
Thursday,15-12-33,3,4,45,33,2
Friday,16-12-33,3,4,22,12,3
Saturday,17-12-33,3,7,32,40,5
Sunday,18-12-33,3,6,32,27,4
Monday,19-12-33,3,9,17,13,5
Tuesday,20-12-33,3,3,21,7,1
Wednesday,21-12-33,3,6,49,29,5
Thursday,22-12-33,3,6,21,40,3
Friday,23-12-33,3,10,12,14,1
Saturday,24-12-33,3,7,18,22,2
Sunday,25-12-33,3,1,38,37,5
Monday,26-12-33,3,10,33,23,2
Tuesday,27-12-33,3,10,43,18,5
Wednesday,28-12-33,3,2,17,10,1
Thursday,29-12-33,3,2,27,45,3
Friday,30-12-33,3,3,30,9,4
Saturday,31-12-33,3,8,26,23,5
Sunday,01-01-34,3,4,49,38,2
Monday,02-01-34,3,5,41,40,3
Tuesday,03-01-34,3,8,28,13,1
Wednesday,04-01-34,3,10,21,7,3
Thursday,05-01-34,3,9,31,13,2
Friday,06-01-34,3,9,10,37,4
Saturday,07-01-34,3,5,30,29,5
Sunday,08-01-34,3,4,19,28,1
Monday,09-01-34,3,2,49,21,2
Tuesday,10-01-34,3,9,31,24,2
Wednesday,11-01-34,3,5,34,13,5
Thursday,12-01-34,3,7,15,20,4
Friday,13-01-34,3,9,41,22,4
Saturday,14-01-34,3,4,19,31,5
Sunday,15-01-34,3,7,27,7,1
Monday,16-01-34,3,9,43,28,5
Tuesday,17-01-34,3,5,26,27,2
Wednesday,18-01-34,3,4,29,37,5
Thursday,19-01-34,3,6,27,41,4
Friday,20-01-34,3,10,17,30,3
Saturday,21-01-34,3,4,27,13,1
Sunday,22-01-34,3,6,24,11,1
Monday,23-01-34,3,1,32,22,1
Tuesday,24-01-34,3,9,42,17,2
Wednesday,25-01-34,3,10,26,7,1
Thursday,26-01-34,3,4,33,15,4
Friday,27-01-34,3,6,13,27,5
Saturday,28-01-34,3,5,26,41,1
Sunday,29-01-34,3,5,40,41,1
Monday,30-01-34,3,3,47,37,5
Tuesday,31-01-34,3,2,39,44,1
Wednesday,01-02-34,3,1,42,10,4
Thursday,02-02-34,3,6,49,43,5
Friday,03-02-34,3,4,19,9,2
Saturday,04-02-34,3,5,40,28,2
Sunday,05-02-34,3,9,21,13,3
Monday,06-02-34,3,6,48,34,4
Tuesday,07-02-34,3,4,36,27,4
Wednesday,08-02-34,3,1,34,12,4
Thursday,09-02-34,3,7,10,5,1
Friday,10-02-34,3,3,29,20,4
Saturday,11-02-34,3,4,27,19,3
Sunday,12-02-34,3,7,42,24,4
Monday,13-02-34,3,7,39,30,2
Tuesday,14-02-34,3,9,42,33,5
Wednesday,15-02-34,3,1,48,43,3
Thursday,16-02-34,3,10,12,17,1
Friday,17-02-34,3,6,12,39,3
Saturday,18-02-34,3,10,49,38,3
Sunday,19-02-34,3,1,15,40,4
Monday,20-02-34,3,4,34,18,5
Tuesday,21-02-34,3,10,11,32,4
Wednesday,22-02-34,3,3,32,6,5
Thursday,23-02-34,3,8,16,13,1
Friday,24-02-34,3,1,27,18,3
Saturday,25-02-34,3,6,38,43,3
Sunday,26-02-34,3,4,37,34,4
Monday,27-02-34,3,6,33,29,1
Tuesday,28-02-34,3,4,24,10,4
Wednesday,01-03-34,3,10,48,25,3
Thursday,02-03-34,3,8,23,27,1
Friday,03-03-34,3,2,43,25,1
Saturday,04-03-34,3,10,19,30,1
Sunday,05-03-34,3,10,27,38,2
Monday,06-03-34,3,1,13,38,5
Tuesday,07-03-34,3,5,40,21,4
Wednesday,08-03-34,3,5,32,38,4
Thursday,09-03-34,3,2,15,16,3
Friday,10-03-34,3,5,42,22,4
Saturday,11-03-34,3,2,33,18,3
Sunday,12-03-34,3,1,35,18,4
Monday,13-03-34,3,9,35,44,3
Tuesday,14-03-34,3,7,43,44,4
Wednesday,15-03-34,3,8,20,29,3
Thursday,16-03-34,3,1,15,31,5
Friday,17-03-34,3,9,44,23,3
Saturday,18-03-34,3,8,27,30,4
Sunday,19-03-34,3,9,33,30,1
Monday,20-03-34,3,9,33,5,4
Tuesday,21-03-34,3,4,12,33,4
Wednesday,22-03-34,3,8,21,25,2
Thursday,23-03-34,3,5,39,5,5
Friday,24-03-34,3,6,22,42,2
Saturday,25-03-34,3,2,42,39,1
Sunday,26-03-34,3,2,29,44,5
Monday,27-03-34,3,3,16,18,2
Tuesday,28-03-34,3,3,47,21,5
Wednesday,29-03-34,3,6,44,43,1
Thursday,30-03-34,3,6,49,8,4
Friday,31-03-34,3,3,48,21,1
Saturday,01-04-34,3,5,15,24,5
Sunday,02-04-34,3,4,14,32,3
Monday,03-04-34,3,3,12,37,2
Tuesday,04-04-34,3,1,17,30,1
Wednesday,05-04-34,3,5,43,34,1
Thursday,06-04-34,3,9,23,31,2
Friday,07-04-34,3,10,18,19,4
Saturday,08-04-34,3,6,39,38,3
Sunday,09-04-34,3,10,17,26,5
Monday,10-04-34,3,3,42,15,4
Tuesday,11-04-34,3,3,36,26,5
Wednesday,12-04-34,3,9,38,39,5
Thursday,13-04-34,3,5,31,21,5
Friday,14-04-34,3,8,13,13,5
Saturday,15-04-34,3,9,19,31,3
Sunday,16-04-34,3,7,25,9,5
Monday,17-04-34,3,6,17,42,4
Tuesday,18-04-34,3,10,29,6,2
Wednesday,19-04-34,3,4,50,34,3
Thursday,20-04-34,3,4,12,24,1
Friday,21-04-34,3,7,24,6,5
Saturday,22-04-34,3,6,42,15,5
Sunday,23-04-34,3,3,13,21,2
Monday,24-04-34,3,10,24,13,1
Tuesday,25-04-34,3,8,13,16,2
Wednesday,26-04-34,3,7,48,23,5
Thursday,27-04-34,3,5,32,26,5
Friday,28-04-34,3,6,47,26,4
Saturday,29-04-34,3,7,34,24,3
Sunday,30-04-34,3,7,35,40,3
Monday,01-05-34,3,5,23,30,3
Tuesday,02-05-34,3,3,38,7,5
Wednesday,03-05-34,3,10,10,26,2
Thursday,04-05-34,3,4,11,22,4
Friday,05-05-34,3,9,36,18,5
Saturday,06-05-34,3,4,15,13,1
Sunday,07-05-34,3,3,19,45,2
Monday,08-05-34,3,10,47,5,3
Tuesday,09-05-34,3,9,10,36,4
Wednesday,10-05-34,3,1,33,39,3
Thursday,11-05-34,3,3,50,36,4
Friday,12-05-34,3,8,19,29,2
Saturday,13-05-34,3,6,17,24,1
Sunday,14-05-34,3,1,35,8,3
Monday,15-05-34,3,3,31,15,5
Tuesday,16-05-34,3,7,38,24,1
Wednesday,17-05-34,3,5,32,19,4
Thursday,18-05-34,3,4,39,29,4
Friday,19-05-34,3,5,36,30,2
Saturday,20-05-34,3,3,21,17,3
Sunday,21-05-34,3,8,49,5,3
Monday,22-05-34,3,4,23,37,1
Tuesday,23-05-34,3,5,48,19,4
Wednesday,24-05-34,3,6,27,41,2
Thursday,25-05-34,3,4,30,17,2
Friday,26-05-34,3,6,14,38,1
Saturday,27-05-34,3,9,26,17,1
Sunday,28-05-34,3,2,49,6,5
Monday,29-05-34,3,4,37,29,5
Tuesday,30-05-34,3,5,31,10,5
Wednesday,31-05-34,3,2,35,12,1
Thursday,01-06-34,3,4,45,42,4
Friday,02-06-34,3,10,10,14,3
Saturday,03-06-34,3,2,14,23,2
Sunday,04-06-34,3,9,49,45,4
Monday,05-06-34,3,10,20,25,1
Tuesday,06-06-34,3,1,11,9,2
Wednesday,07-06-34,3,1,18,33,2
Thursday,08-06-34,3,5,18,23,1
Friday,09-06-34,3,10,45,10,3
Saturday,10-06-34,3,1,11,31,2
Sunday,11-06-34,3,9,37,6,2
Monday,12-06-34,3,3,49,8,5
Tuesday,13-06-34,3,1,50,27,1
Wednesday,14-06-34,3,3,41,10,2
Thursday,15-06-34,3,8,10,14,3
Friday,16-06-34,3,8,28,39,2
Saturday,17-06-34,3,2,33,16,2
Sunday,18-06-34,3,2,40,43,2
Monday,19-06-34,3,5,31,45,2
Tuesday,20-06-34,3,4,13,24,3
Wednesday,21-06-34,3,3,13,44,4
Thursday,22-06-34,3,10,43,8,1
Friday,23-06-34,3,5,22,33,4
Saturday,24-06-34,3,2,19,42,4
Sunday,25-06-34,3,3,31,23,2
Monday,26-06-34,3,8,16,17,5
Tuesday,27-06-34,3,6,47,25,3
Wednesday,28-06-34,3,8,10,8,2
Thursday,29-06-34,3,2,10,37,4
Friday,30-06-34,3,9,29,24,3
